stage_id,test_id,stage_name,input_data,processing_time_ms,output_data,confidence_score,pattern_matches,success
1,1,"Text Preprocessing","シンプルなFlaskアプリケーションを作成してください。ホームページに'Hello World'を表示し、/aboutページに会社情報を表示する機能を含めてください。",0.05,"シンプルなflaskアプリケーションを作成してください。ホームページに'hello world'を表示し、/aboutページに会社情報を表示する機能を含めてください。",1.0,"lowercase",true
2,1,"Framework Detection","シンプルなflaskアプリケーションを作成してください",0.02,"[""flask""]",0.98,"flask|フラスク",true
3,1,"Technology Detection","python,シンプル,アプリケーション",0.01,"[""python""]",0.95,"python|パイソン|シンプル",true
4,1,"Action Detection","作成してください",0.01,"[""create""]",0.97,"作成|作って|create|してください",true
5,1,"Feature Detection","ホームページ,hello world,会社情報,about",0.02,"[""homepage"",""about""]",0.96,"ホームページ|hello world|会社情報|about",true
6,1,"Category Classification","frameworks:[flask],technologies:[python],actions:[create],features:[homepage,about]",0.03,"web_app",0.99,"web_app_pattern",true
7,1,"Complexity Assessment","frameworks:1,technologies:1,features:2",0.01,"beginner",0.98,"beginner_criteria",true
8,1,"Button Generation","web_app,flask,homepage,about",0.02,"5 buttons generated",1.0,"flask_template_matched",true
1,2,"Text Preprocessing","何か簡単なWebサイトを作りたい",0.03,"何か簡単なwebサイトを作りたい",1.0,"lowercase",true
2,2,"Framework Detection","webサイト,簡単,python推論",0.03,"[""flask""]",0.85,"web_pattern+python_hint",true
3,2,"Technology Detection","python推論",0.01,"[""python""]",0.80,"python_inference",true
4,2,"Action Detection","作りたい",0.01,"[""create""]",0.92,"作りたい|作成",true
5,2,"Feature Detection","webサイト",0.01,"[]",0.70,"generic_web",true
6,2,"Category Classification","frameworks:[flask],actions:[create]",0.02,"web_app",0.95,"web_app_pattern",true
7,2,"Complexity Assessment","frameworks:1,basic_request",0.01,"beginner",0.95,"beginner_criteria",true
8,2,"Button Generation","web_app,flask,basic",0.02,"3 buttons generated",0.98,"flask_basic_template",true
1,3,"Text Preprocessing","Reactアプリケーションを立ち上げてください。モダンなSPAを作成したいです。",0.04,"reactアプリケーションを立ち上げてください。モダンなspaを作成したいです。",1.0,"lowercase",true
2,3,"Framework Detection","react,アプリケーション",0.02,"[""react""]",0.99,"react|リアクト",true
3,3,"Technology Detection","react,spa,モダン",0.02,"[""javascript""]",0.94,"javascript|react",true
4,3,"Action Detection","立ち上げてください,作成したい",0.02,"[""create"",""start""]",0.96,"立ち上げ|start|作成|create",true
5,3,"Feature Detection","spa",0.01,"[]",0.75,"spa_detected",true
6,3,"Category Classification","frameworks:[react],actions:[create,start]",0.02,"web_app",0.97,"web_app_pattern",true
7,3,"Complexity Assessment","frameworks:1,spa_requirement",0.01,"intermediate",0.93,"intermediate_criteria",true
8,3,"Button Generation","web_app,react,spa",0.02,"2 buttons generated",0.99,"react_template_matched",true
